,id,created_at,text,is_propaganda
1749,1514553915580329988,2022-04-14 10:39:27+00:00,"Woman who held up poster of Marine Le Pen and President Putin dragged from news conference

https://t.co/TdCyL6Nybv",False
2409,1510803460320632839,2022-04-04 02:16:28+00:00,"⚡️Zelensky: Around 150,000 people trapped in Mariupol. 

In an interview with CBS, Ukrainian President Volodymyr Ze… https://t.co/XIeCe5LqrM",False
2463,1475560113536741379,2021-12-27 20:12:00+00:00,"RT @natomission_ru: 🇷🇺#Russia Deputy FM Sergey #Ryabkov: We must stop #NATO eastward expansion, exclude Ukraine’s joining NATO, guarantee o…",True
116,1527722359314075649,2022-05-20 18:46:08+00:00,"#Azovstal fully liberated – Russian military

More: https://t.co/wvlGj8roiM https://t.co/7RCQR0Xmnf",True
2742,1517110124325879808,2022-04-21 11:56:54+00:00,"RT @BloombergUK: ""He was almost foaming at the mouth""

Piers Morgan says Donald Trump was like Don Corleone of 'The Godfather' when they re…",False
2659,1512460258270068737,2022-04-08 16:00:00+00:00,'Intense battle' | Russian army surrounds last nationalist fighters in Mariupol https://t.co/hg8iQSl3c6,True
1580,1518711453993340928,2022-04-25 22:00:01+00:00,Russia’s FSB has released footage reportedly showing the arrest of a Ukrainian group plotting to assassinate Russia… https://t.co/YHozZqllvy,True
334,1526240241882996741,2022-05-16 16:36:44+00:00,"Hundreds of activists gathered in Washington, DC to commemorate the 74th anniversary of Palestinian Nakba Day, carr… https://t.co/1HXyqAqyVz",True
1658,1515264005278998532,2022-04-16 09:41:05+00:00,Key UN climate change finding widely misinterpreted https://t.co/LzANC2rEKD,False
542,1525075889612111873,2022-05-13 11:30:01+00:00,"Finland weighs in on Russia threat

The Finnish envoy to NATO says there is no ‘irregular activity’ from Russia aga… https://t.co/3iC5q7EgYh",True
18,1528350975710437378,2022-05-22 12:24:02+00:00,Lawyers for the two European tourists argued more information was needed about the ancient shards found in their po… https://t.co/2rWmGLoEA1,False
2319,1510284698370596866,2022-04-02 15:55:06+00:00,"Should we be recycling Covid tests? 

https://t.co/jeH6AR88IK https://t.co/R8v6YVFV7n",False
2884,1516540933126475780,2022-04-19 22:15:09+00:00,"New York City subway, JFK and LaGuardia airports? Masks. 

NJ Transit and Newark airport? No masks. 

Here's how tr… https://t.co/xz55ukFc6P",False
588,1524788994718027777,2022-05-12 16:30:00+00:00,"US committed crimes against Indigenous children – report 

Read: https://t.co/ooOjacf8sJ https://t.co/2kRC6j2xyn",True
2649,1512528207173586946,2022-04-08 20:30:00+00:00,"Slovakia sends Soviet-made S-300 air defense system to Ukraine

Details: https://t.co/G1ACHu4sEm https://t.co/2ePGkvyaYj",True
1182,1520251664384462848,2022-04-30 04:00:16+00:00,"⚡️Lavrov: Lifting sanctions against Russia part of negotiations with Ukraine. 

Russian Foreign Minister Sergei Lav… https://t.co/eM5xMbRWKg",False
2052,1515963342875201537,2022-04-18 08:00:00+00:00,"After the surrender of the Illich factory, the area was filled with the corpses of civilians used by Mariupol natio… https://t.co/dM1VY1C91C",True
2011,1520033912755568643,2022-04-29 13:35:00+00:00,The Biden administration wants to force an end to the controversial Trump-era immigration policy—but so far the cou… https://t.co/XmSQejQ1e7,False
2338,1514299346749116423,2022-04-13 17:47:53+00:00,"Wife of captured Ukrainian opposition leader pleads to Erdogan

She asked the Turkish president to assist in freein… https://t.co/iFtwHhJZih",True
1288,1501504440867725315,2022-03-09 10:25:29+00:00,💬#Zakharova: The goal of returning #Ukraine to the origins of its sovereignty sealed in the Declaration of Independ… https://t.co/TAYKsKRPtX,True
2526,1474056126723497992,2021-12-23 16:35:41+00:00,"RT @mfa_russia: 💬 President #Putin: Russia's economy withstood the pandemic shock better than some other nations. 

📈 Russia's GDP projecti…",True
2187,1511383683139260423,2022-04-05 16:42:04+00:00,Tiger Woods set to play Masters at Augusta National https://t.co/mwkEWVp3Wu,False
2636,1512641454862049280,2022-04-09 04:00:01+00:00,Robo got that magic touch! Finger tipping goodness! https://t.co/c2Ep7bC5nb,True
552,1524824808055349253,2022-05-12 18:52:18+00:00,"Under the scheme, buyers are obliged to deposit euros or dollars into an account at Russia’s Gazprombank, which has… https://t.co/ggcySWz9nX",False
2369,1514151411394744321,2022-04-13 08:00:02+00:00,Ukrainian refugees arrive in Romanian port https://t.co/Jo1r5gdUiv,True
2925,1466002020968681477,2021-12-01 11:11:33+00:00,💬 Ambassador-at-Large Gennady #Askaldovich: The United States is playing up the religious theme. They stick labels… https://t.co/DuZUyyjhZP,True
593,1524553200786886657,2022-05-12 00:53:02+00:00,"⚡️ Governor: Russia shells almost every settlement in Donetsk Oblast.

Donetsk Oblast Governor Pavlo Kyrylenko said… https://t.co/pOeMj3f2lF",False
2863,1507456959057956897,2022-03-25 20:38:40+00:00,"⚡️Police seize 11 tanks, other weapons from civilians in Poltava Oblast.

In 30 days of Russia’s all-out war agains… https://t.co/zFlpVQ3R25",False
2152,1512544311149309958,2022-04-08 21:34:00+00:00,"⚡️ BBC: Russia changes its military command.

According to an unnamed Western official, Gen. Alexander Dvornikov, w… https://t.co/Y40ViyGWY6",False
1008,1521683318302982144,2022-05-04 02:49:09+00:00,"The meeting points are Port City shopping mall in Mariupol at 8 a.m. local time, Lunacharske Circle, close to Berdy… https://t.co/ejUlPG5UnU",False
2737,1507015896518168578,2022-03-24 15:26:03+00:00,"Lose your fear, dissident Nicaraguan diplomat says https://t.co/1ubKZ3vTnO",False
864,1522970729121484800,2022-05-07 16:04:51+00:00,"Canadian sniper ‘terribly disappointed’ with military reality in Ukraine

A Canadian ex-soldier known as ‘Wali’ has… https://t.co/ZrLcnQCH4Q",True
2100,1515672529272193026,2022-04-17 12:44:25+00:00,RT @WorldsApart_RT: Everything in #journalism is about perception. The challenge is making sure it's not manipulated to give people a twist…,True
